team_abbreviation, conference, division
PHI, EAST, Atlantic
BKN, EAST, Atlantic
NYK, EAST, Atlantic
BOS, EAST, Atlantic
TOR, EAST, Atlantic
MIL, EAST, Central
IND, EAST, Central
CHI, EAST, Central
CLE, EAST, Central
DET, EAST, Central
ATL,  EAST, Southeast
MIA,  EAST, Southeast
WAS,  EAST, Southeast
CHA,  EAST, Southeast
ORL, EAST, Southeast
UTA, WEST, Northwest
DEN,WEST, Northwest
POR,WEST, Northwest
MIN,WEST, Northwest
OKC,WEST, Northwest
DAL,WEST, Southwest
MEM,WEST, Southwest
SAS,WEST, Southwest
NOP,WEST, Southwest
HOU,WEST, Southwest
PHX,WEST, Pacific
LAL,WEST, Pacific
LAC,WEST, Pacific
GSW,WEST, Pacific
SAC,WEST, Pacific
